name,title,description
PARID,Parcel Identification Number,A 16 character unique identifier for the parcel.
PROPERTYHOUSENUM,House Number,House Number for the  physical location of property; may be zero or blank.
PROPERTYFRACTION,House Number Fraction,"Continued House Number information for the  physical location of property; such as 1/2, the house number ending range, or a letter. "
PROPERTYADDRESS,Street,"Street name for the  physical location of the property, including directional indicators and suffixes."
PROPERTYCITY,City,City where the property is physically located.
PROPERTYSTATE,State,State where the property is physically located.
PROPERTYUNIT,Unit Number,"Unit numbers for the property, such as condo units (e.g. 1, 3C,  115A, B13, etc�.)."
PROPERTYZIP,Zip code,Zip Code where the property is physically located.
MUNICODE,Municipality Code,Municipality number associated with specified parcel.
MUNIDESC,Municipality Name,Municipality name associated with specified parcel.
SCHOOLCODE,School District Code,School district number associated with specified parcel.
SCHOOLDESC,School District Name,School district name associated with specified parcel.
LEGAL1,Legal Description 1,Line 1 of parcel legal description from the Deed.
LEGAL2,Legal Description 2,Line 2 continuation of parcel legal description from the Deed.
LEGAL3,Legal Description 3,Line 3 continuation of parcel legal description from the Deed.
NEIGHCODE,Neighborhood Number,"The ID number for the valuation neighborhood containing this parcel.   Valuation neighborhoods were delineated as part of the 2013 reassessment.  A valuation neighborhood is a geographic area exhibiting a high degree of homogeneity in economic amenities, land use, economic trends, and property characteristics such as quality, age, and condition. "
NEIGHDESC,Neighborhood Name,"The name associated with the valuation neighborhood number, if a name exists. "
TAXCODE,Tax Status,"Tax Status indicates whether or not real estate taxes apply to a parcel's assessment.   Parcels may be Taxable (must pay local taxes), Exempt (pay no taxes), or PURTA [Public Utility Realty Tax Act (if taxes are paid, they are paid into a state fund rather than to local taxing bodies)].
Values:  'E' , 'T' or 'P' ."
TAXDESC,Tax Status Description,"Description for Tax Status codes:  '10 - Exempt', '20 - Taxable' or '12 - Public Utility Realty Tax - PURTA'."
TAXSUBCODE,Tax Sub Code,Tax Sub Code applies only to parcels having the PURTA tax status.  Public Utilities may not have to pay taxes (E-Exempt) or they may have to pay taxes into a state fund (T-Taxable). 
TAXSUBCODE_DESC,Tax Sub Code Description,"Values:  E - 'PURTA - Exempt',  T - 'PURTA -Taxable' or null."
OWNERCODE,Owner Type Code 1,Numeric code categorizes owner as individuals ('REGULAR' ) vs corporations ('CORPORATION').
OWNERDESC,Owner Description,Descriptions for numeric owner codes.  [e.g. individuals ('REGULAR' ) vs corporations ('CORPORATION')]
CLASS,Class,"Broad self-explanatory categories for describing the  general use of a parcel.
Categories:  R - RESIDENTIAL, U - UTILITIES, I - INDUSTRIAL, 
C - COMMERCIAL, O - OTHER, G - GOVERNMENT, F - AGRICULTURAL."
CLASSDESC,Class Description,"Broad self-explanatory categories for describing the  general use of a parcel.
Categories:  R - RESIDENTIAL, U - UTILITIES, I - INDUSTRIAL, 
C - COMMERCIAL, O - OTHER, G - GOVERNMENT, F - AGRICULTURAL."
USECODE,Land Use Code,"More detailed than class, these categories further describe the primary use of the parcel.  There are about 200 self-explanatory categories."
USEDESC,Land Use Code Description,"More detailed than class, these categories further describe the primary use of the parcel.  There are about 200 self-explanatory categories."
LOTAREA,Sum of Area of Land,Total square footage of land.
HOMESTEADFLAG,Homestead Flag,A property owner may apply for a homestead reduction on their primary residence.  If granted (indicated by 'HOM') the owner will receive a standard reduction on their assessment for County taxes under Act 50.  They may also receive a variable reduction on their School taxes under Act 1.
CLEANGREEN,Clean and Green Flag,This field indicates that a parcel is receiving a reduction in their assessment due to the state�s Clean and Green preferential assessment program.
FARMSTEADFLAG,Farmstead Flag,A property owner may apply for a farmstead reduction if their primary residence is a farm with at least 10 contiguous acres.  If granted (indicated by 'FRM') the owner will receive a standard reduction on their assessment for County taxes under Act 50.  
ABATEMENTFLAG,Abatement Flag,"This field indicates that a parcel is receiving a reduction in their County assessment due to a County-approved incentive program.   Specific programs and amounts vary according to the County resolutions and ordinances in effect at the time.  Consult the Office of Property Assessments web page to see the current types of Abatements.

Abatements have been available to residential property owners as incentives for new construction and for building improvements.  Abatements for commercial properties have been available for local economic revitalization programs.

Values:  'Y' or null."
RECORDDATE,Record Date,"Date the sale was recorded 
in the Department of Real Estate (mm/dd/yyyy)."
SALEDATE,Sale Date,Date the sale occurred  (mm/dd/yyyy).
SALEPRICE,Sale Price,"Amount paid for the sale 
(also called the consideration)."
SALECODE,Sale Validity Code,"A subjective categorization (code) as to whether or not the sale price was representative of current market value. These categorizations are subject to change as sales are reviewed by the Office of Property Assessments or during a reassessment. See further details in the Sale Validation Codes Details tab of the ""Property Sale Transaction Data Dictionary"".  "
SALEDESC,Sale Validity Code Description,"A subjective categorization (description) as to whether or not the sale price was representative of current market value. These categorizations are subject to change as sales are reviewed by the Office of Property Assessments or during a reassessment. See further details in the Sale Validation Codes Details tab of the ""Property Sale Transaction Data Dictionary"".  "
DEEDBOOK,Book Number,"Cross-reference to the physical book number 
where the deed is on file
in the Department of Real Estate."
DEEDPAGE,Page Number,"Page within the specified deed book 
corresponding to the first page of 
this physical deed."
PREVSALEDATE,Previous Sale Date,Date the previous sale occurred  (mm/dd/yyyy).
PREVSALEPRICE,Previous Sale Price,Amount paid for the previous sale.
PREVSALEDATE2,Previous Sale Date 2,Date the 2nd previous sale occurred  (mm/dd/yyyy).
PREVSALEPRICE2,Previous Sale Price 2,Amount paid for the 2nd previous sale.
